City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,krasnoselkup,65.7,82.47,-13.81,84,94,10.29,RU,1609366161
330,monteiro,-7.89,-37.12,79.72,53,95,12.1,BR,1609366088
331,sovetskiy,61.36,63.58,-25.29,85,4,3.83,RU,1609366162
332,kindia,10.06,-12.87,71.73,67,0,3.85,GN,1609366162
333,rawson,-43.3,-65.1,61.61,47,32,10.98,AR,1609366144
334,san joaquin,37.93,-121.3,57.0,62,1,4.7,US,1609366162
335,itaperuna,-21.2,-41.89,75.72,90,71,4.18,BR,1609366163
336,pacasmayo,-7.4,-79.57,72.57,74,81,13.67,PE,1609366163
337,neepawa,50.23,-99.47,19.4,85,90,12.75,CA,1609366163
338,malkangiri,18.35,81.9,60.73,71,77,1.9,IN,1609366164
339,kamenka,51.32,42.77,23.0,94,100,9.78,RU,1609366164
340,wamba,8.93,8.6,77.92,28,3,5.3,NG,1609366030
341,maxixe,-23.86,35.35,80.8,86,46,8.81,MZ,1609366109
342,skjervoy,70.03,20.97,34.43,86,81,19.82,NO,1609366165
343,qaqortoq,60.72,-46.03,26.6,58,90,3.36,GL,1609366165
344,anupgarh,29.19,73.21,43.92,59,0,3.71,IN,1609366165
345,cortez,37.35,-108.59,33.8,55,1,4.7,US,1609366165
346,monrovia,6.3,-10.8,80.19,84,63,7.58,LR,1609366087
347,hauterive,46.09,3.45,37.4,74,0,10.29,FR,1609366166
348,abha,18.22,42.51,57.2,71,0,2.91,SA,1609366166
349,yumbe,3.47,31.25,73.8,49,24,3.27,UG,1609366166
350,garowe,8.41,48.48,67.71,69,0,14.61,SO,1609366167
351,jeremie,18.65,-74.12,78.24,66,2,7.63,HT,1609366167
352,filingue,14.35,3.32,73.47,18,0,9.17,NE,1609366167
353,katete,-0.78,29.75,65.3,72,100,3.53,UG,1609366167
354,iskateley,67.68,53.15,-21.21,85,0,9.44,RU,1609366168
355,simdega,22.62,84.52,56.52,72,31,3.65,IN,1609366168
356,jalu,29.03,21.55,55.06,45,2,7.45,LY,1609366168
357,sittingbourne,51.34,0.73,36.0,92,91,3.6,GB,1609366169
358,porvoo,60.39,25.67,36.0,95,88,4.0,FI,1609366169
359,hobyo,5.35,48.53,76.1,75,24,21.81,SO,1609366169
360,black river,18.03,-77.85,82.99,65,20,20.8,JM,1609366169
361,puerto del rosario,28.5,-13.86,60.8,67,40,8.05,ES,1609366170
362,valparaiso,-33.04,-71.63,84.2,29,0,16.11,CL,1609366150
363,coxim,-18.51,-54.76,88.59,49,32,5.48,BR,1609366170
364,leo,11.1,-2.1,74.34,19,0,6.02,BF,1609366170
365,port-cartier,50.03,-66.87,12.2,72,89,6.93,CA,1609366171
366,gat,31.61,34.76,61.0,57,0,3.0,IL,1609366171
367,jackson,42.42,-122.83,42.8,79,90,3.36,US,1609366171
368,muscatine,41.47,-91.13,26.6,73,40,16.11,US,1609366150
369,opichen,20.55,-89.85,86.0,45,75,12.75,MX,1609366171
370,kokkola,63.84,23.13,32.0,100,90,4.7,FI,1609366172
371,culiacan,24.8,-107.39,71.01,37,40,9.17,MX,1609365928
372,cleethorpes,53.56,-0.03,30.99,100,35,5.82,GB,1609366172
373,mayumba,-3.43,10.66,78.04,89,100,3.0,GA,1609366172
374,ixtapa,20.7,-105.2,73.4,69,75,11.41,MX,1609366172
375,winsum,53.33,6.52,39.0,94,28,15.48,NL,1609366173
376,meadow lake,34.8,-106.54,43.0,30,20,9.17,US,1609366173
377,rodrigues alves,-7.74,-72.65,89.6,62,40,6.93,BR,1609366173
378,stepnyak,52.83,70.78,-15.45,88,78,8.99,KZ,1609366173
379,pacific grove,36.62,-121.92,55.0,66,1,8.05,US,1609366089
380,najran,17.49,44.13,57.2,54,0,1.52,SA,1609366105
381,cheyenne,41.14,-104.82,30.99,39,75,12.75,US,1609366174
